invoice,invoicedate,TotalPrice,TotalPrice_USD,TotalPrice_EUR
581483,2011-12-09 09:15:00,168469.6,213956.39200000002,197109.432
541431,2011-01-18 10:01:00,77183.6,98023.172,90304.812
556444,2011-06-10 15:28:00,38970.0,49491.9,45594.899999999994
530715,2010-11-04 11:36:00,15818.4,20089.368,18507.528
502263,2010-03-23 15:22:00,10953.5,13910.945,12815.595
524159,2010-09-27 16:12:00,10468.8,13295.375999999998,12248.496
496115,2010-01-29 11:04:00,8985.6,11411.712000000001,10513.152
511465,2010-06-08 12:59:00,8925.0,11334.75,10442.25
551697,2011-05-03 13:46:00,8142.75,10341.2925,9527.0175
567423,2011-09-20 11:05:00,7144.719999999999,9073.794399999999,8359.3224
501766,2010-03-19 11:35:00,6958.17,8836.875900000001,8141.0589
501768,2010-03-19 11:45:00,6958.17,8836.875900000001,8141.0589
540815,2011-01-11 12:55:00,6539.400000000001,8305.038,7651.098
550461,2011-04-18 13:20:00,6539.400000000001,8305.038,7651.098
525968,2010-10-08 10:10:00,5179.2,6577.584,6059.664
573003,2011-10-27 12:11:00,4992.0,6339.84,5840.639999999999
540815,2011-01-11 12:55:00,4921.5,6250.305,5758.155
550461,2011-04-18 13:20:00,4632.0,5882.64,5419.44
540818,2011-01-11 12:57:00,4522.5,5743.575,5291.325
524181,2010-09-27 16:59:00,4464.719999999999,5670.194399999999,5223.722399999999
558526,2011-06-30 11:01:00,4401.0,5589.27,5149.17
550461,2011-04-18 13:20:00,4254.5,5403.215,4977.764999999999
532358,2010-11-11 17:05:00,4176.0,5303.52,4885.92
562439,2011-08-04 18:06:00,4176.0,5303.52,4885.92
573077,2011-10-27 14:13:00,4161.06,5284.546200000001,4868.4402
573080,2011-10-27 14:20:00,4161.06,5284.546200000001,4868.4402
540689,2011-01-11 08:43:00,4121.64,5234.482800000001,4822.3188
571751,2011-10-19 11:18:00,3949.32,5015.6364,4620.7044
529613,2010-10-29 10:46:00,3941.9999999999995,5006.339999999999,4612.139999999999
526934,2010-10-14 09:46:00,3884.0000000000005,4932.68,4544.280000000001
524181,2010-09-27 16:59:00,3862.08,4904.8416,4518.633599999999
581115,2011-12-07 12:20:00,3861.0,4903.47,4517.37
537659,2010-12-07 16:43:00,3828.0,4861.56,4478.759999999999
